"","W1","W2","W3","W4","W5","Count"
"662","und","dem","internationalen","währungsfonds","iwf",4
"663","hieß","es","in","der","mitteilung",4
"664","auf","den","höchsten","stand","seit",4
"665","in","der","vergangenen","woche","hat",4
"666","von","10","bis","12","uhr",4
"667","uwe","mundlos","uwe","böhnhardt","und",4
"668","mundlos","uwe","böhnhardt","und","beate",4
"669","den","ersten","neun","monaten","dieses",4
"670","ersten","neun","monaten","dieses","jahres",4
"671","in","den","vergangenen","vier","jahren",4
"672","auch","in","den","nächsten","jahren",4
"673","vor","steuern","zinsen","und","abschreibungen",4
"674","punkten","der","breiter","gefasste","s",4
"675","vor","zinsen","steuern","und","abschreibungen",4
"676","schönen","start","in","die","woche",3
"677","können","wenn","sie","wollen","frau",3
"678","wenn","sie","wollen","frau","merkel",3
"679","die","katze","aus","dem","sack",3
"680","ich","bin","so","stolz","auf",3
"681","ich","wünsche","euch","eine","schöne",3
"682","und","freue","mich","auf","die",3
"683","sich","an","als","hätte","jemand",3
"684","das","kann","ich","mir","nicht",3
"685","ich","denke","nicht","dass","ich",3
"686","ist","auch","noch","ein","tag",3
"687","frohe","weihnachten","und","einen","guten",3
"688","weihnachten","und","einen","guten","rutsch",3
"689","hand","in","hand","mit","der",3
"690","noch","nicht","mal","die","hälfte",3
"691","dann","kann","ja","nichts","mehr",3
"692","der","apfel","fällt","nicht","weit",3
"693","apfel","fällt","nicht","weit","vom",3
"694","von","der","ersten","sekunde","an",3
"695","freue","mich","schon","sehr","auf",3
"696","mir","fällt","gerade","auf","dass",3
"697","auf","dem","weg","nach","münchen",3
"698","mich","jetzt","schon","auf","den",3
"699","hätte","ich","jetzt","bock","auf",3
"700","ich","weiß","ja","nicht","ob",3
"701","ist","immer","ein","guter","anfang",3
"702","der","tag","fängt","ja","gut",3
"703","war","ich","schon","lange","nicht",3
"704","ich","bin","auf","dem","weg",3
"705","wer","a","sagt","muss","auch",3
"706","a","sagt","muss","auch","b",3
"707","wir","freuen","uns","auf","ihren",3
"708","guttenbergwochen","bei","twitter","einfach","den",3
"709","bei","twitter","einfach","den","tweet",3
"710","twitter","einfach","den","tweet","eines",3
"711","einfach","den","tweet","eines","freundes",3
"712","den","tweet","eines","freundes","kopieren",3
"713","tweet","eines","freundes","kopieren","und",3
"714","eines","freundes","kopieren","und","als",3
"715","freundes","kopieren","und","als","eigenen",3
"716","kopieren","und","als","eigenen","tweet",3
"717","und","als","eigenen","tweet","veröffentlichen",3
"718","als","eigenen","tweet","veröffentlichen","ohne",3
"719","eigenen","tweet","veröffentlichen","ohne","quellenangaben",3
"720","auf","jedem","schiff","das","dampft",3
"721","ich","weiß","gar","nicht","wie",3
"722","von","18","bis","20","uhr",3
"723","ein","gutes","hat","es","ja",3
"724","bin","mir","sicher","dass","es",3
"725","allen","ein","frohes","neues","jahr",3
"726","guten","morgen","aktuell","in","forchheim",3
"727","der","countdown","läuft","nur","noch",3
"728","nur","noch","3","tage","bis",3
"729","bin","ich","die","einzige","die",3
"730","aber","was","ist","mit","den",3
"731","ich","freu","mich","schon","drauf",3
"732","kann","ich","nur","zurück","geben",3
"733","freuen","uns","auf","euren","besuch",3
"734","tut","mir","leid","dass","ich",3
"735","und","wenn","du","denkst","es",3
"736","geht","nicht","mehr","kommt","von",3
"737","nicht","mehr","kommt","von","irgendwo",3
"738","jetzt","auf","dem","weg","nach",3
"739","wie","es","so","schön","heißt",3
"740","sich","auf","jeden","fall","gelohnt",3
"741","wie","war","das","mit","dem",3
"742","sollte","man","auf","jeden","fall",3
"743","es","handelt","sich","um","einen",3
"744","wir","wünschen","euch","ein","tolles",3
"745","man","tut","was","man","kann",3
"746","wie","schnell","die","zeit","vergeht",3
"747","mal","sehen","wie","lange","das",3
"748","das","ist","in","der","tat",3
"749","guten","morgen","liebe","sorgen","seid",3
"750","morgen","liebe","sorgen","seid","ihr",3
"751","liebe","sorgen","seid","ihr","auch",3
"752","sorgen","seid","ihr","auch","schon",3
"753","gibts","freigetränke","bei","diana","in",3
"754","freigetränke","bei","diana","in","gundelfingen",3
"755","alle","und","bringt","eure","bekannte",3
"756","und","bringt","eure","bekannte","mit",3
"757","die","8","11","90","und",3
"758","vielen","dank","für","die","freundliche",3
"759","dank","für","die","freundliche","begrüßung",3
"760","ich","fühle","mich","heute","so",3
"761","hast","du","mich","gerade","fett",3
"762","du","mich","gerade","fett","genannt",3
"763","vielen","dank","an","alle","teilnehmer",3
"764","wo","bin","ich","denn","hier",3
"765","was","mach","ich","denn","jetzt",3
"766","euch","ein","frohes","neues","jahr",3
"767","wir","wünschen","ihnen","ein","schönes",3
"768","da","fühlt","man","sich","wie",3
"769","vielleicht","liegt","es","daran","dass",3
"770","ich","eigentlich","der","einzige","der",3
"771","eigentlich","der","einzige","der","bei",3
"772","da","bin","ich","ja","gespannt",3
"773","und","ich","werden","wohl","keine",3
"774","mal","sehen","ob","ich","heute",3
"775","ob","sie","wollen","oder","nicht",3
"776","weiß","immer","noch","nicht","was",3
"777","wenn","das","internet","voll","ist",3
"778","das","war","mal","wieder","ein",3
"779","lange","nicht","mehr","so","viel",3
"780","hoffe","es","geht","dir","gut",3
"781","exit","through","the","gift","shop",3
"782","ich","schon","lang","nicht","mehr",3
"783","und","dann","war","da","noch",3
"784","dann","war","da","noch","der",3
"785","wünsche","euch","einen","schönen","abend",3
"786","was","gibt","es","schöneres","als",3
"787","nicht","in","der","lage","sind",3
"788","wo","du","recht","hast","hast",3
"789","du","recht","hast","hast","du",3
"790","recht","hast","hast","du","recht",3
"791","wünsche","euch","allen","einen","guten",3
"792","wie","wäre","es","mit","einer",3
"793","neigt","sich","dem","ende","entgegen",3
"794","für","rückfracht","oder","beiladung","nach",3
"795","aber","man","kann","sich","ja",3
"796","es","kann","nur","besser","werden",3
"797","mir","mal","jemand","erklären","warum",3
"798","das","geht","ja","gar","nicht",3
"799","fluch","der","karibik","fremde","gezeiten",3
"800","aber","was","tut","man","nicht",3
"801","man","nicht","alles","für","die",3
"802","ich","hab","kein","bock","mehr",3
"803","instituts","für","internet","und","gesellschaft",3
"804","tage","an","denen","man","sich",3
"805","gerade","zum","ersten","mal","in",3
"806","und","ich","freue","mich","auf",3
"807","nicht","mehr","das","was","es",3
"808","mehr","das","was","es","mal",3
"809","wir","freuen","uns","über","neue",3
"810","der","frühe","vogel","kann","mich",3
"811","frühe","vogel","kann","mich","mal",3
"812","auf","jeden","fall","ist","das",3
"813","ist","es","dann","doch","nicht",3
"814","vielen","dank","für","den","#ff",3
"815","für","den","#ff","und","ein",3
"816","den","#ff","und","ein","schönes",3
"817","song","of","ice","and","fire",3
"818","am","anderen","ende","der","leitung",3
"819","jetzt","freu","ich","mich","auf",3
"820","wir","arbeiten","mit","hochdruck","an",3
"821","guten","morgen","wir","wünschen","euch",3
"822","morgen","wir","wünschen","euch","einen",3
"823","leben","kann","so","schön","sein",3
"824","ich","freu","mich","auf","dich",3
"825","allen","eine","gute","nacht","und",3
"826","wenn","man","ihn","mal","braucht",3
"827","min","später","technische","störung","am",3
"828","später","technische","störung","am","zug",3
"829","vielen","dank","für","den","tipp",3
"830","dann","kannst","du","ja","jetzt",3
"831","hat","jemand","einen","tipp","für",3
"832","morgen","ist","es","endlich","so",3
"833","geteiltes","leid","ist","halbes","leid",3
"834","für","die","einen","ist","es",3
"835","die","die","welt","nicht","braucht",3
"836","wir","sind","froh","dass","es",3
"837","das","war","schon","immer","so",3
"838","wir","dürfen","nicht","vergessen","dass",3
"839","ist","auf","dem","weg","zur",3
"840","mich","jetzt","auf","den","weg",3
"841","einen","guten","start","in","ein",3
"842","freu","mich","schon","auf","das",3
"843","dir","auch","einen","schönen","tag",3
"844","vor","der","tür","und","die",3
"845","wie","ist","das","wetter","bei",3
"846","guten","morgen","und","eine","schöne",3
"847","morgen","und","eine","schöne","woche",3
"848","nach","langer","zeit","mal","wieder",3
"849","freu","dich","nicht","zu","früh",3
"850","habe","ich","das","gefühl","dass",3
"851","wünsche","allen","einen","schönen","sonntag",3
"852","dann","fiel","mir","ein","dass",3
"853","wie","geil","is","das","denn",3
"854","und","der","rest","der","welt",3
"855","bin","auf","dem","weg","zum",3
"856","ich","mich","auch","schon","gefragt",3
"857","so","ein","tag","an","dem",3
"858","ein","tag","an","dem","ich",3
"859","auch","von","mir","alles","gute",3
"860","freue","mich","schon","sehr","darauf",3
"861","ein","schönes","wochenende","an","alle",3
"862","ich","hab","keine","ahnung","was",3
"863","mir","sehr","gut","gefallen","hat",3
"864","wenn","du","zeit","und","lust",3
"865","cool","danke","für","den","tipp",3
"866","vielen","dank","für","die","tollen",3
"867","auch","einen","guten","morgen","und",3
"868","nicht","mehr","das","was","sie",3
"869","gott","sei","dank","ist","das",3
"870","wir","sind","auf","dem","weg",3
"871","was","ist","denn","mit","dem",3
"872","wo","hast","du","das","denn",3
"873","ist","mir","gar","nicht","aufgefallen",3
"874","mir","noch","nicht","ganz","sicher",3
"875","vielen","dank","für","rt","und",3
"876","das","ist","ja","mal","eine",3
"877","freuen","sie","sich","auf","die",3
"878","ja","schon","lange","nicht","mehr",3
"879","bin","am","überlegen","ob","ich",3
"880","besuchen","sie","uns","auf","der",3
"881","nicht","das","erste","mal","dass",3
"882","ich","bin","gespannt","auf","die",3
"883","beiladung","nach","mainz","wiesbaden","frankfurt",3
"884","sehen","was","der","tag","so",3
"885","was","der","tag","so","bringt",3
"886","so","kann","ich","nicht","arbeiten",3
"887","ich","wünsche","euch","allen","eine",3
"888","in","der","schönsten","stadt","der",3
"889","der","schönsten","stadt","der","welt",3
"890","na","dann","viel","spass","und",3
"891","bei","mir","um","die","ecke",3
"892","und","damit","meine","ich","nicht",3
"893","erfolgreichen","start","in","die","neue",3
"894","na","dann","mal","alles","gute",3
"895","das","ist","nicht","wahr","oder",3
"896","mühsam","ernährt","sich","das","eichhörnchen",3
"897","halte","ich","für","ein","gerücht",3
"898","so","schnell","wie","möglich","wieder",3
"899","ich","habe","noch","nicht","mal",3
"900","wo","wir","gerade","beim","thema",3
"901","dann","hat","sich","das","für",3
"902","was","würden","wir","nur","ohne",3
"903","war's","dann","wohl","mit","dem",3
"904","wenn","ich","mich","recht","erinnere",3
"905","vielleicht","sieht","man","sich","ja",3
"906","um","19","uhr","in","der",3
"907","das","ist","der","grund","warum",3
"908","habe","ich","in","den","letzten",3
"909","ich","in","den","letzten","tagen",3
"910","wird","in","den","nächsten","tagen",3
"911","nicht","auf","dem","rücken","der",3
"912","das","ist","auch","ein","grund",3
"913","wenn","einer","eine","reise","tut",3
"914","danke","für","den","tipp","mal",3
"915","aber","ich","glaube","nicht","dass",3
"916","bin","ich","aber","froh","dass",3
"917","rt","man","soll","nichts","gegen",3
"918","man","soll","nichts","gegen","akws",3
"919","soll","nichts","gegen","akws","in",3
"920","nichts","gegen","akws","in","d",3
"921","gegen","akws","in","d","sagen",3
"922","akws","in","d","sagen","weil",3
"923","in","d","sagen","weil","j",3
"924","d","sagen","weil","j","weit",3
"925","sagen","weil","j","weit","weg",3
"926","weil","j","weit","weg","ist",3
"927","j","weit","weg","ist","meinen",3
"928","weit","weg","ist","meinen","leute",3
"929","weg","ist","meinen","leute","die",3
"930","ist","meinen","leute","die","bei",3
"931","meinen","leute","die","bei","jedem",3
"932","leute","die","bei","jedem","furz",3
"933","die","bei","jedem","furz","von",3
"934","bei","jedem","furz","von","bin",3
"935","jedem","furz","von","bin","laden",3
"936","furz","von","bin","laden","hier",3
"937","von","bin","laden","hier","die",3
"938","bin","laden","hier","die","vollüber",3
"939","schau","ich","mir","gleich","mal",3
"940","ich","mir","gleich","mal","an",3
"941","zu","weit","aus","dem","fenster",3
"942","für","jeden","ist","etwas","dabei",3
"943","ich","sehe","gerade","dass","ich",3
"944","dann","mache","ich","mich","mal",3
"945","leben","in","einer","welt","in",3
"946","sehen","wir","uns","heute","abend",3
"947","erstaunlich","wie","verwirrt","menschen","plötzlich",3
"948","wie","verwirrt","menschen","plötzlich","sind",3
"949","verwirrt","menschen","plötzlich","sind","wenn",3
"950","und","das","war","es","auch",3
"951","also","noch","luft","nach","oben",3
"952","geburtstag","habe","mich","sehr","darüber",3
"953","aber","besser","spät","als","nie",3
"954","die","art","und","weise","des",3
"955","da","muss","ich","auch","mal",3
"956","it","off","and","on","again",3
"957","ganz","zu","schweigen","von","den",3
"958","ich","freue","mich","über","die",3
"959","wie","alt","bist","du","eigentlich",3
"960","auf","dem","weg","nach","stuttgart",3
"961","hatte","ich","auch","schon","mal",3
"962","ich","für","meinen","teil","habe",3
"963","auch","wenn","es","schwer","fällt",3
"964","8","11","90","und","spende",3
"965","11","90","und","spende","5",3
"966","freue","mich","über","feedback","in",3
"967","mich","über","feedback","in","meinem",3
"968","über","feedback","in","meinem","gästebuch",3
"969","feedback","in","meinem","gästebuch","auf",3
"970","in","meinem","gästebuch","auf","der",3
"971","ein","leben","ohne","mops","ist",3
"972","leben","ohne","mops","ist","möglich",3
"973","ohne","mops","ist","möglich","aber",3
"974","mops","ist","möglich","aber","sinnlos",3
"975","in","der","politik","ist","es",3
"976","und","ich","bin","immer","noch",3
"977","gleicher","lohn","für","gleiche","arbeit",3
"978","harry","potter","und","die","heiligtümer",3
"979","potter","und","die","heiligtümer","des",3
"980","und","die","heiligtümer","des","todes",3
"981","die","heiligtümer","des","todes","teil",3
"982","heiligtümer","des","todes","teil","2",3
"983","ist","der","tag","an","dem",3
"984","der","tag","an","dem","ich",3
"985","morgen","und","einen","erfolgreichen","tag",3
"986","es","handelt","sich","um","eine",3
"987","wir","freuen","uns","über","den",3
"988","ich","weiß","es","nicht","aber",3
"989","vielen","dank","für","das","feedback",3
"990","mir","da","nicht","so","sicher",3
"991","danke","wünsch","ich","dir","auch",3
"992","und","einen","guten","start","ins",3
"993","guten","morgen","deutschland","guten","morgen",3
"994","komme","ich","auf","jeden","fall",3
"995","wir","bedanken","uns","bei","allen",3
"996","dir","auch","einen","schönen","abend",3
"997","hat","ja","lange","genug","gedauert",3
"998","bald","ist","es","so","weit",3
"999","bin","ich","froh","dass","es",3
"1000","das","ist","das","was","ich",3
"1001","oh","wie","ist","das","schön",3
"1002","morgen","vertreibt","kummer","und","sorgen",3
"1003","hat","jemand","von","euch","schon",3
"1004","den","hunger","in","der","welt",3
"1005","aber","ich","weiß","nicht","ob",3
"1006","alles","alles","gute","zum","geburtstag",3
"1007","das","kann","doch","nicht","sein",3
"1008","das","ist","jetzt","die","frage",3
"1009","uns","in","halle","5","stand",3
"1010","da","weiß","man","was","man",3
"1011","ich","bin","auf","der","suche",3
"1012","es","ist","mal","wieder","soweit",3
"1013","was","ist","eigentlich","mit","dem",3
"1014","experten","gehen","davon","aus","dass",3
"1015","ein","schelm","der","böses","dabei",3
"1016","schelm","der","böses","dabei","denkt",3
"1017","kann","ich","mich","nicht","mehr",3
"1018","ich","mich","nicht","mehr","erinnern",3
"1019","jeden","tag","ein","bisschen","besser",3
"1020","für","den","fall","dass","ich",3
"1021","der","wahl","ist","vor","der",3
"1022","noch","lange","nicht","dass","sie",3
"1023","das","hab","ich","auch","gedacht",3
"1024","heißen","waffeln","und","einer","neuen",3
"1025","waffeln","und","einer","neuen","geschichte",3
"1026","und","einer","neuen","geschichte","von",3
"1027","einer","neuen","geschichte","von","wilhelm",3
"1028","neuen","geschichte","von","wilhelm","busch",3
"1029","wenn","es","so","weit","ist",3
"1030","ich","glaube","ich","werde","krank",3
"1031","hab","ich","ja","noch","nie",3
"1032","ich","zum","ersten","mal","seit",3
"1033","#handball","#wm","der","#männer","in",3
"1034","steht","es","im","#spiel","#deutschland",3
"1035","es","im","#spiel","#deutschland","vs",3
"1036","vielen","dank","für","die","erwähnung",3
"1037","in","der","bild","am","sonntag",3
"1038","guten","morgen","an","diesem","schönen",3
"1039","kann","mir","jemand","sagen","wie",3
"1040","ich","weiß","das","sehr","zu",3
"1041","weiß","das","sehr","zu","schätzen",3
"1042","in","der","lage","ist","die",3
"1043","die","ich","in","den","letzten",3
"1044","und","ich","dachte","immer","die",3
"1045","schönen","sonntag","wünsche","ich","euch",3
"1046","da","muss","man","sich","doch",3
"1047","danke","an","alle","die","uns",3
"1048","nicht","so","wie","ich","das",3
"1049","so","wie","ich","das","will",3
"1050","es","gibt","kein","schlechtes","wetter",3
"1051","ist","ein","bisschen","wie","in",3
"1052","was","mach","ich","jetzt","mit",3
"1053","wird","in","diesem","jahr","mit",3
"1054","wir","wünschen","ein","schönes","wochenende",3
"1055","das","wetter","spielt","auch","mit",3
"1056","danke","an","für","den","hinweis",3
"1057","bei","der","entscheidung","über","die",3
"1058","der","letzte","macht","das","licht",3
"1059","letzte","macht","das","licht","aus",3
"1060","wenn","ich","das","richtig","verstanden",3
"1061","wir","freuen","uns","auf","alle",3
"1062","aktuelles","#wetter","für","augsburg","#wetteraugsburg",3
"1063","ich","freue","mich","so","sehr",3
"1064","die","frage","ist","nur","ob",3
"1065","ich","mag","es","nicht","wenn",3
"1066","mal","auf","den","weg","zum",3
"1067","was","sind","das","denn","für",3
"1068","von","17","bis","19","uhr",3
"1069","ich","weiß","gar","nicht","mehr",3
"1070","die","man","sich","vorstellen","kann",3
"1071","und","ich","dachte","schon","ich",3
"1072","freue","ich","mich","auf","ein",3
"1073","ich","weiß","gar","nicht","ob",3
"1074","auf","den","weg","in","den",3
"1075","ab","ins","bett","gute","nacht",3
"1076","bin","ich","froh","wenn","ich",3
"1077","deutschland","ist","#erneuerbar","taten","statt",3
"1078","ist","#erneuerbar","taten","statt","warten",3
"1079","in","den","letzten","10","jahren",3
"1080","dann","wollen","wir","mal","die",3
"1081","ich","hatte","noch","nie","so",3
"1082","bin","auf","dem","weg","nach",3
"1083","dann","hoffen","wir","mal","dass",3
"1084","wusste","ich","noch","gar","nicht",3
"1085","morgen","in","die","runde","und",3
"1086","mit","fast","furious","five","und",3
"1087","fast","furious","five","und","thor",3
"1088","furious","five","und","thor","3d",3
"1089","five","und","thor","3d","in",3
"1090","und","thor","3d","in","den",3
"1091","thor","3d","in","den","mai",3
"1092","3d","in","den","mai","tanzen",3
"1093","jetzt","im","u","selinks","radio",3
"1094","so","war","das","nicht","gemeint",3
"1095","ich","weiß","auch","nicht","was",3
"1096","dir","auch","ein","schönes","we",3
"1097","kommt","es","nur","mir","so",3
"1098","nur","mir","so","vor","oder",3
"1099","ist","das","einzige","was","ich",3
"1100","kann","es","sein","dass","die",3
"1101","ist","das","alles","nur","ein",3
"1102","das","wochenende","steht","vor","der",3
"1103","an","dieser","stelle","einfach","mal",3
"1104","geht","ja","mal","gar","nicht",3
"1105","nun","auf","dem","weg","nach",3
"1106","auf","der","suche","nach","nem",3
"1107","wer","bist","du","und","was",3
"1108","vielen","dank","für","die","rts",3
"1109","beim","nächsten","mal","werde","ich",3
"1110","steht","nichts","mehr","im","wege",3
"1111","jetzt","ist","es","zu","spät",3
"1112","mache","mich","gleich","auf","den",3
"1113","mich","gleich","auf","den","weg",3
"1114","geht","mir","tierisch","auf","den",3
"1115","doch","keine","so","gute","idee",3
"1116","da","hast","du","wohl","recht",3
"1117","bei","uns","in","der","nähe",3
"1118","tja","was","soll","ich","sagen",3
"1119","du","sprichst","mir","aus","der",3
"1120","sprichst","mir","aus","der","seele",3
"1121","euch","allen","einen","guten","rutsch",3
"1122","geht","in","die","nächste","runde",3
"1123","die","stimmen","in","meinem","kopf",3
"1124","jemand","ne","idee","wie","ich",3
"1125","mich","jetzt","schon","auf","die",3
"1126","nichts","zu","tun","haben","will",3
"1127","ich","freue","mich","dass","ich",3
"1128","in","den","wahnsinn","zu","treiben",3
"1129","woche","wir","freuen","uns","auf",3
"1130","nicht","alles","gold","was","glänzt",3
"1131","und","was","ist","mit","den",3
"1132","wer","hätte","gedacht","dass","ich",3
"1133","alles","alles","liebe","zum","geburtstag",3
"1134","nur","noch","4","tage","bis",3
"1135","ist","ja","auch","kein","wunder",3
"1136","grüße","und","ein","schönes","we",3
"1137","wünsche","euch","einen","schönen","sonntag",3
"1138","würde","des","menschen","ist","unantastbar",3
"1139","das","ist","einer","der","gründe",3
"1140","und","wenn","sie","nicht","gestorben",3
"1141","ein","schritt","in","die","richtige",3
"1142","mein","name","ist","lohse","ich",3
"1143","name","ist","lohse","ich","kaufe",3
"1144","ist","lohse","ich","kaufe","hier",3
"1145","lohse","ich","kaufe","hier","ein",3
"1146","und","ich","würde","mich","freuen",3
"1147","mal","sehen","ob","das","klappt",3
"1148","aber","das","kennt","ihr","ja",3
"1149","vielen","dank","fürs","folgen","und",3
"1150","na","da","freu","ich","mich",3
"1151","einfach","nicht","in","der","lage",3
"1152","es","sich","nicht","um","die",3
"1153","allen","ein","schönes","und","sonniges",3
"1154","trennung","von","staat","und","religion",3
"1155","wir","wünschen","euch","ein","wunderschönes",3
"1156","das","ist","ja","mal","ein",3
"1157","sag","doch","einfach","dass","du",3
"1158","ich","glaub","ich","muss","mir",3
"1159","das","ist","aber","nicht","so",3
"1160","es","ist","zeit","für","einen",3
"1161","allen","einen","guten","start","ins",3
"1162","wir","melden","uns","bei","ihnen",3
"1163","in","den","nächsten","jahren","auf",3
"1164","danke","für","die","grüße","und",3
"1165","ich","fühle","mich","wie","ein",3
"1166","ist","ja","auch","so","ein",3
"1167","uci","wünscht","euch","allen","ein",3
"1168","wünscht","euch","allen","ein","tolles",3
"1169","das","war","das","erste","mal",3
"1170","dass","es","dir","gut","geht",3
"1171","guten","morgen","und","allen","einen",3
"1172","euch","allen","einen","schönen","abend",3
"1173","wünsche","euch","einen","schönen","feierabend",3
"1174","ich","weiß","ja","nicht","was",3
"1175","für","rt","und","einen","schönen",3
"1176","muss","ehrlich","sagen","dass","ich",3
"1177","beate","uhse","das","recht","auf",3
"1178","uhse","das","recht","auf","liebe",3
"1179","kluft","zwischen","arm","und","reich",3
"1180","die","klinke","in","die","hand",3
"1181","klinke","in","die","hand","geben",3
"1182","kann","es","doch","nicht","sein",3
"1183","wie","aus","einer","anderen","zeit",3
"1184","ist","das","denn","für","ne",3
"1185","gar","nicht","so","schlecht","für",3
"1186","auch","nicht","das","gelbe","vom",3
"1187","gibt","doch","nichts","schöneres","als",3
"1188","nächste","woche","geht","es","wieder",3
"1189","rund","um","die","uhr","in",3
"1190","das","kann","kein","zufall","sein",3
"1191","leben","ist","zu","kurz","um",3
"1192","von","10","bis","16","uhr",3
"1193","mal","wieder","zeit","für","ein",3
"1194","guten","morgen","#ruhrgebiet","und","rest",3
"1195","morgen","#ruhrgebiet","und","rest","der",3
"1196","#ruhrgebiet","und","rest","der","welt",3
"1197","das","kann","ja","was","werden",3
"1198","start","in","die","neue","arbeitswoche",3
"1199","ich","bin","so","froh","dass",3
"1200","in","halle","an","der","saale",3
"1201","hat","sich","die","zahl","der",3
"1202","auf","der","anderen","seite","ist",3
"1203","mit","der","suche","nach","einem",3
"1204","ab","19","uhr","in","der",3
"1205","an","den","tagen","an","denen",3
"1206","ich","kann","mich","noch","an",3
"1207","was","hast","du","denn","für",3
"1208","dass","ich","gar","nicht","weiß",3
"1209","kann","ich","mir","gut","vorstellen",3
"1210","ich","mich","jetzt","schon","auf",3
"1211","kann","ich","auch","nicht","mehr",3
"1212","es","ist","auf","jeden","fall",3
"1213","kombination","aus","ultraschall","carvitation","und",3
"1214","aus","ultraschall","carvitation","und","ems",3
"1215","ultraschall","carvitation","und","ems","training",3
"1216","carvitation","und","ems","training","ist",3
"1217","und","ems","training","ist","perfekt",3
"1218","ems","training","ist","perfekt","dazu",3
"1219","training","ist","perfekt","dazu","geeignet",3
"1220","ist","perfekt","dazu","geeignet","unkomplizierterfolgreich",3
"1221","perfekt","dazu","geeignet","unkomplizierterfolgreich","und",3
"1222","die","problemzonen","zu","entfernen","und",3
"1223","problemzonen","zu","entfernen","und","den",3
"1224","zu","entfernen","und","den","körper",3
"1225","entfernen","und","den","körper","zu",3
"1226","und","den","körper","zu","straffen",3
"1227","den","körper","zu","straffen","und",3
"1228","körper","zu","straffen","und","zu",3
"1229","zu","straffen","und","zu","modellieren",3
"1230","einen","schönen","sonntag","wünsche","ich",3
"1231","hatte","das","nichts","zu","tun",3
"1232","das","mit","mir","zu","tun",3
"1233","mit","mir","zu","tun","hat",3
"1234","um","bis","zu","30","prozent",3
"1235","es","geht","um","mehr","als",3
"1236","ist","es","nicht","so","dass",3
"1237","mehr","als","einer","woche","im",3
"1238","gegen","die","macht","der","banken",3
"1239","ist","es","auf","jeden","fall",3
"1240","es","stellte","sich","heraus","dass",3
"1241","ist","auf","dem","weg","nach",3
"1242","ersten","bis","zur","letzten","seite",3
"1243","das","erste","mal","dass","ein",3
"1244","aber","man","weiß","ja","nie",3
"1245","und","das","nicht","nur","im",3
"1246","ich","weiß","nicht","ob","es",3
"1247","anders","und","zweitens","als","man",3
"1248","und","zweitens","als","man","denkt",3
"1249","mal","sehen","wie","sich","das",3
"1250","ems","ist","die","abkürzung","von",3
"1251","ist","die","abkürzung","von","elektromyostimulation",3
"1252","die","abkürzung","von","elektromyostimulation","elektroimpulse",3
"1253","elektromyostimulation","elektroimpulse","trainieren","ohne","bewegung",3
"1254","elektroimpulse","trainieren","ohne","bewegung","die",3
"1255","trainieren","ohne","bewegung","die","verschiedenen",3
"1256","bei","dem","ems-training","eine","entsprechende",3
"1257","dem","ems-training","eine","entsprechende","ausrüstung",3
"1258","ems-training","eine","entsprechende","ausrüstung","mit",3
"1259","eine","entsprechende","ausrüstung","mit","daran",3
"1260","entsprechende","ausrüstung","mit","daran","befestigten",3
"1261","befestigten","elektroden","diese","elektroden","regen",3
"1262","elektroden","diese","elektroden","regen","jeden",3
"1263","diese","elektroden","regen","jeden","einzelnen",3
"1264","elektroden","regen","jeden","einzelnen","muskel",3
"1265","regen","jeden","einzelnen","muskel","zur",3
"1266","jeden","einzelnen","muskel","zur","kontraktion",3
"1267","einzelnen","muskel","zur","kontraktion","an",3
"1268","kontraktion","an","wodurch","die","muskulatur",3
"1269","an","wodurch","die","muskulatur","gestärkt",3
"1270","wodurch","die","muskulatur","gestärkt","wird",3
"1271","die","elektroimpulse","sind","schmerzlos","risikofrei",3
"1272","elektroimpulse","sind","schmerzlos","risikofrei","und",3
"1273","sind","schmerzlos","risikofrei","und","auch",3
"1274","schmerzlos","risikofrei","und","auch","bei",3
"1275","risikofrei","und","auch","bei","längerer",3
"1276","bleibt","zu","hoffen","dass","die",3
"1277","über","diät-produkte","nicht","mehr","retten",3
"1278","ich","kann","nur","sagen","dass",3
"1279","im","vergleich","zu","den","letzten",3
"1280","der","in","der","vergangenen","woche",3
"1281","menschen","überall","auf","der","welt",3
"1282","ich","noch","nie","in","meinem",3
"1283","sich","im","laufe","der","zeit",3
"1284","für","mich","war","es","eine",3
"1285","kriege","im","irak","und","in",3
"1286","im","irak","und","in","afghanistan",3
"1287","es","ist","kein","zufall","dass",3
"1288","wie","macht","ihr","das","mit",3
"1289","in","den","letzten","zwei","jahren",3
"1290","in","welcher","form","auch","immer",3
"1291","es","handelt","sich","dabei","um",3
"1292","auch","in","den","letzten","jahren",3
"1293","aus","den","augen","zu","verlieren",3
"1294","wird","man","erfolgreich","und","zeitsparend",3
"1295","man","erfolgreich","und","zeitsparend","problemzonen",3
"1296","erfolgreich","und","zeitsparend","problemzonen","los",3
"1297","problemzonen","los","festigt","seinen","körper",3
"1298","los","festigt","seinen","körper","und",3
"1299","den","boden","unter","den","füßen",3
"1300","in","die","richtige","richtung","aber",3
"1301","wünsche","euch","allen","noch","einen",3
"1302","mehr","als","50","prozent","der",3
"1303","stellte","sich","heraus","dass","die",3
"1304","drehte","sie","sich","um","und",3
"1305","haben","in","den","vergangenen","jahren",3
"1306","es","tut","uns","leid","dass",3
"1307","tut","uns","leid","dass","wir",3
"1308","auf","den","weg","zu","bringen",3
"1309","einem","tag","auf","den","anderen",3
